
> sol-analytics-backend@1.0.0 start
> tsx src/index.ts

🚀 Sol Analytics API server running on port 3001
📊 Health check: http://localhost:3001/health
🔌 API endpoints:
   - Protocols: http://localhost:3001/api/protocols
   - Data Update: http://localhost:3001/api/data-update
Fetching data for padre (ID: 5099279)...
Fetching data for moonshot (ID: 4103111)...
Fetching data for vector (ID: 4969231)...
2025-06-19T08:32:25.361Z - GET /api/data-update/status
2025-06-19T08:32:25.457Z - GET /api/data-update/status
2025-06-19T08:32:25.560Z - GET /api/data-update/status
2025-06-19T08:32:25.664Z - GET /api/data-update/status
2025-06-19T08:32:25.784Z - GET /api/data-update/status
2025-06-19T08:32:25.883Z - GET /api/data-update/status
2025-06-19T08:32:25.969Z - GET /api/data-update/status
Successfully downloaded data for padre to /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/padre.csv
Successfully downloaded data for bloom to /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/bloom.csv
Successfully downloaded data for maestro to /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/maestro.csv
Successfully downloaded data for axiom to /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/axiom.csv
Successfully downloaded data for moonshot to /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/moonshot.csv
Successfully downloaded data for banana to /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/banana.csv
Successfully downloaded data for nova to /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/nova.csv
Successfully downloaded data for bullx to /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/bullx.csv
2025-06-19T08:32:26.059Z - GET /api/data-update/status
Successfully downloaded data for bonkbot to /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/bonkbot.csv
Successfully downloaded data for vector to /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/vector.csv
Successfully downloaded data for photon to /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/photon.csv
Successfully downloaded data for gmgnai to /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/gmgnai.csv
2025-06-19T08:32:26.153Z - GET /api/data-update/status
Successfully downloaded data for trojan to /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/trojan.csv
Successfully downloaded data for soltradingbot to /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/soltradingbot.csv
Downloaded 14/14 CSV files successfully
--- Importing CSV files to database ---
--- Deleting all existing data from protocol_stats ---
2025-06-19T08:32:26.249Z - GET /api/data-update/status
2025-06-19T08:32:26.356Z - GET /api/data-update/status
Successfully deleted all existing data
Found 14 CSV files: [
  'axiom.csv',   'banana.csv',
  'bloom.csv',   'bonkbot.csv',
  'bullx.csv',   'gmgnai.csv',
  'maestro.csv', 'moonshot.csv',
  'nova.csv',    'padre.csv',
  'photon.csv',  'soltradingbot.csv',
  'trojan.csv',  'vector.csv'
]
--- Importing /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/bonkbot.csv ---
--- Importing /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/axiom.csv ---
--- Importing /Users/sairaghavaa/Documents/GitHub/sol-analytics/server/public/data/banana.csv ---
