formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
17/03/2025,1.2109511063612655e+06,722,46,9011
16/03/2025,841923.917415538,591,23,7118
15/03/2025,1.79095248166237e+06,1031,149,8355
14/03/2025,1.2433446448457597e+06,1232,353,12110
13/03/2025,1.0854690535105842e+06,809,88,10152
12/03/2025,1.3329171678350272e+06,1141,341,10410
11/03/2025,1.0139460344502017e+06,719,80,8377
10/03/2025,1.0564942814431528e+06,664,57,8226
09/03/2025,1.0899866420039563e+06,1144,560,6862
08/03/2025,1.2728698381177126e+06,805,66,7596
07/03/2025,2.28627065894959e+06,963,69,10912
06/03/2025,1.2233180727941173e+06,816,58,8752
05/03/2025,1.306370185678137e+06,956,195,9418
04/03/2025,1.1683919671055395e+06,740,65,8622
03/03/2025,1.2198712801019256e+06,803,72,7885
02/03/2025,1.4260060252023418e+06,740,62,7380
01/03/2025,715720.9829006803,586,37,5886
28/02/2025,991357.0606754867,690,43,19026
27/02/2025,1.2717447957989578e+06,864,99,8794
26/02/2025,1.174087077926892e+06,847,70,7672
25/02/2025,1.9315920174573709e+06,796,61,7658
24/02/2025,1.4529434032329165e+06,899,54,8356
23/02/2025,1.595440772491158e+06,851,78,8590
22/02/2025,1.6830226984492198e+06,949,97,8837
21/02/2025,1.8084429979852096e+06,1038,101,9314
20/02/2025,2.50090539994847e+06,1005,65,11237
19/02/2025,2.507471578472271e+06,1017,76,10157
18/02/2025,2.8738705640636357e+06,1074,139,10567
17/02/2025,2.908600944602153e+06,1043,99,10397
16/02/2025,5.223796622270563e+06,983,103,10501
15/02/2025,5.965348025628145e+06,1108,110,12636
14/02/2025,3.965461256467486e+07,1336,132,14756
13/02/2025,4.0679934675166416e+06,1331,100,14147
12/02/2025,5.759730000653099e+06,1492,170,18403
11/02/2025,9.896056891164279e+06,1733,231,25528
10/02/2025,1.1297691712516883e+07,1582,135,25167
09/02/2025,7.896102858683511e+06,1383,123,19934
08/02/2025,3.9564175674336627e+06,1235,123,15472
07/02/2025,4.960013063131541e+06,1520,195,19275
06/02/2025,4.355065007275033e+06,1464,154,16899
05/02/2025,6.917040749838822e+06,1747,287,22313
04/02/2025,9.1823706523489e+06,1504,148,18645
03/02/2025,4.974689624943703e+06,1478,171,17486
02/02/2025,3.730551418777163e+06,1404,187,15261
01/02/2025,7.071453821925072e+06,1518,128,18877
31/01/2025,1.2375210969714137e+07,1885,220,28949
30/01/2025,2.073208177380244e+07,2188,360,37814
29/01/2025,1.0513793528148718e+07,1840,275,28231
28/01/2025,1.0512365712325951e+07,2010,231,28098
27/01/2025,1.3488478084615715e+07,2292,332,33074
26/01/2025,1.1404030687238544e+07,1936,189,26858
25/01/2025,1.2347776684646545e+07,1998,236,28359
24/01/2025,2.2477050540114544e+07,2381,250,40188
23/01/2025,2.8475554406617545e+07,2547,299,46345
22/01/2025,1.4291483873077488e+07,2098,196,33429
21/01/2025,1.9524869236661065e+07,2261,235,35284
20/01/2025,3.396345747912406e+07,2675,299,41159
19/01/2025,3.6851261073504746e+07,2630,321,38135
18/01/2025,2.5204673945706982e+07,2295,205,28703
17/01/2025,1.0243023167471299e+07,1842,202,24934
16/01/2025,8.643667140823374e+06,2022,295,26926
15/01/2025,8.261829072442573e+06,2021,334,26847
14/01/2025,8.296850752653365e+06,1977,195,27396
13/01/2025,6.912444356358716e+06,1800,260,22531
12/01/2025,6.751402564174333e+06,1612,140,24072
11/01/2025,6.918478664303126e+06,1609,118,22075
10/01/2025,8.85239024717363e+06,1906,233,26893
09/01/2025,9.241321118498154e+06,1955,231,29001
08/01/2025,1.0806937394765196e+07,2031,183,30242
07/01/2025,9.588986823492397e+06,2056,185,28726
06/01/2025,9.782387097223582e+06,2163,360,33684
05/01/2025,1.0109912876272628e+07,1868,208,32198
04/01/2025,9.434876349821365e+06,1836,202,31463
03/01/2025,1.3140312497097205e+07,1959,158,34844
02/01/2025,1.0739958379402338e+07,1969,224,33136
01/01/2025,7.7759198420185875e+06,1536,107,24273
31/12/2024,7.498838864305511e+06,1539,117,20797
30/12/2024,6.564415127877726e+06,1663,184,22748
29/12/2024,7.455633323045541e+06,1508,139,19861
28/12/2024,4.758692880123252e+06,1489,135,17321
27/12/2024,5.071530427381262e+06,1583,177,20208
26/12/2024,6.744298104826529e+06,1618,140,21690
25/12/2024,4.926680252940485e+06,1413,138,16450
24/12/2024,3.9442070231562303e+06,1466,156,17699
23/12/2024,6.208241041249625e+06,1524,162,24038
22/12/2024,5.656239823899258e+06,1587,158,25784
21/12/2024,8.331096243088836e+06,1719,184,26889
20/12/2024,1.0282175815408377e+07,1766,172,31305
19/12/2024,8.547422064805651e+06,1880,213,30074
18/12/2024,9.109871303507216e+06,2074,315,27433
17/12/2024,7.33720871246623e+06,1995,249,23831
16/12/2024,8.189389991522313e+06,2026,257,29469
15/12/2024,6.160612970657083e+06,1686,170,28963
14/12/2024,8.482280751218265e+06,1896,189,37676
13/12/2024,1.1831665939917201e+07,2184,288,41905
12/12/2024,1.274909823108863e+07,2179,280,49103
11/12/2024,1.2427161421915103e+07,2189,248,36954
10/12/2024,9.699697848243933e+06,2097,247,37850
09/12/2024,8.756527165515842e+06,2026,222,35876
08/12/2024,7.332266496857173e+06,1754,144,30387
07/12/2024,7.671453417963854e+06,1792,167,31357
06/12/2024,9.161929976103364e+06,1923,191,37093
05/12/2024,8.108666242180924e+06,2110,261,42722
04/12/2024,8.81002312723147e+06,2163,254,44455
03/12/2024,9.152194548473181e+06,2282,349,47101
02/12/2024,1.0168345988626646e+07,2277,302,41277
01/12/2024,8.105567522385581e+06,2060,217,29313
30/11/2024,8.08696318003948e+06,2096,256,31220
29/11/2024,1.2488048709639896e+07,2467,254,35708
28/11/2024,1.5160902724764246e+07,2836,556,42789
27/11/2024,1.5911609125418328e+07,2858,476,40727
26/11/2024,1.4217271335788265e+07,2641,391,39982
25/11/2024,1.530662708479306e+07,2733,283,45788
24/11/2024,1.4018888107898422e+07,2651,347,41807
23/11/2024,1.8190730304731723e+07,2745,369,46114
22/11/2024,2.456108374766134e+07,3120,596,57136
21/11/2024,2.418005829988286e+07,3106,471,51714
20/11/2024,2.9009126115920275e+07,3493,745,71561
19/11/2024,2.7650762198902685e+07,3041,589,61483
18/11/2024,2.6141337091998257e+07,3357,584,67163
17/11/2024,2.6954287341671344e+07,2975,426,65007
16/11/2024,1.8103981200300068e+07,2693,418,49362
15/11/2024,2.192210934087884e+07,3134,485,58955
14/11/2024,2.5471348404564198e+07,3214,545,58366
13/11/2024,1.949068153876626e+07,2843,412,45848
12/11/2024,1.3373359064912844e+07,2440,315,40845
11/11/2024,1.5940638809283018e+07,2488,410,40138
10/11/2024,9.080543324440423e+06,1849,162,28464
09/11/2024,7.206246442126625e+06,1792,150,23435
08/11/2024,9.186177513331676e+06,2050,241,28521
07/11/2024,8.980344806423552e+06,2119,282,29642
06/11/2024,7.632560760095532e+06,2064,244,29711
05/11/2024,5.469524994605961e+06,1750,165,24184
04/11/2024,5.819396007106925e+06,1861,235,26136
03/11/2024,8.13840295730914e+06,1720,210,26536
02/11/2024,6.23396638434764e+06,1611,166,21078
01/11/2024,4.78383523118075e+06,1695,219,19469
31/10/2024,9.460041819434928e+06,2004,294,29777
30/10/2024,9.807621199118087e+06,2043,329,29009
29/10/2024,1.2687250146570496e+07,2396,392,37850
28/10/2024,1.0187814250847688e+07,2221,358,32942
27/10/2024,9.034773436399408e+06,1908,213,29212
26/10/2024,7.693541220847612e+06,1814,266,25563
25/10/2024,1.1194074663220013e+07,2070,304,29825
24/10/2024,1.954391973354453e+07,2374,477,41368
23/10/2024,1.549510358497058e+07,2147,355,35646
22/10/2024,1.1536590732889997e+07,2066,311,30454
21/10/2024,1.0983845591844315e+07,1938,244,31925
20/10/2024,7.739707818078093e+06,1609,157,24378
19/10/2024,1.3916588424185805e+07,1820,226,40886
18/10/2024,8.013685694359435e+06,1772,251,33294
17/10/2024,7.080952025526409e+06,1681,165,26945
16/10/2024,7.600209764531651e+06,1777,268,27850
15/10/2024,5.7604034773907075e+06,1586,182,25736
14/10/2024,7.5989562349788565e+06,1642,206,26928
13/10/2024,5.723655256157601e+06,1333,134,22705
12/10/2024,3.9940906307204785e+06,1276,152,16504
11/10/2024,5.055846328656126e+06,1296,97,17476
10/10/2024,3.0987965934825568e+06,1216,89,15868
09/10/2024,4.717357080676034e+06,1353,123,19184
08/10/2024,3.8004121647499925e+06,1244,122,16289
07/10/2024,4.340129634715791e+06,1276,129,17925
06/10/2024,2.99567105744554e+06,1071,99,15868
05/10/2024,4.454664595179444e+06,1203,108,18269
04/10/2024,3.4359798653424056e+06,1189,100,16582
03/10/2024,3.4593372388091343e+06,1292,123,17468
02/10/2024,5.390864672683845e+06,1350,136,19928
01/10/2024,3.0903441345516904e+06,1151,104,14630
30/09/2024,3.7672992563005076e+06,1273,144,17023
29/09/2024,4.26751777981874e+06,1162,120,17823
28/09/2024,4.0573085877027162e+06,1118,109,16567
27/09/2024,4.1456608187640053e+06,1194,166,18780
26/09/2024,3.3333740496632345e+06,1089,154,17123
25/09/2024,1.6084380814556945e+06,814,111,10524
24/09/2024,1.476511345081088e+06,704,81,9750
23/09/2024,937895.0192073092,658,88,7276
22/09/2024,928300.3818779252,574,35,7085
21/09/2024,920411.6763664626,588,54,6540
20/09/2024,407435.91865436104,476,107,2782
19/09/2024,732815.8969161317,649,57,4909
18/09/2024,1.416363617808859e+06,825,58,9849
17/09/2024,1.793137688449204e+06,865,55,10680
16/09/2024,1.1374213778072223e+06,778,65,8916
15/09/2024,1.369966396138402e+06,703,52,7539
14/09/2024,670534.2901060658,668,52,6591
13/09/2024,1.0176076459015633e+06,759,67,6649
12/09/2024,1.3441513525105377e+06,864,86,9131
11/09/2024,1.0868072749808037e+06,786,38,8835
10/09/2024,1.166630061790725e+06,822,57,9407
09/09/2024,1.0817663000494412e+06,805,61,9048
08/09/2024,834638.4076711243,654,41,8427
07/09/2024,784943.907563684,665,60,8002
06/09/2024,998475.3994291886,771,61,10019
05/09/2024,1.0713015026002524e+06,760,72,10707
04/09/2024,1.4139318375389301e+06,827,84,11714
03/09/2024,1.5616681413145668e+06,878,82,11801
02/09/2024,1.2892169199554122e+06,753,48,11218
01/09/2024,1.3329169630328887e+06,700,35,10472
31/08/2024,1.0468537532719709e+06,686,56,9167
30/08/2024,1.2271195665460771e+06,799,98,9697
29/08/2024,2.826677940923758e+06,957,138,13115
28/08/2024,1.5698778753828153e+06,855,58,12333
27/08/2024,1.8605732233683192e+06,848,68,12920
26/08/2024,1.9446082801900099e+06,906,86,13432
25/08/2024,1.393627079966054e+06,829,111,11019
24/08/2024,1.639179747668385e+06,842,107,12430
23/08/2024,1.980430586372317e+06,930,114,13520
22/08/2024,1.708692521609727e+06,900,74,12394
21/08/2024,2.019586563586522e+06,934,46,11910
20/08/2024,2.127441528327955e+06,1010,93,13067
19/08/2024,2.6094696132378164e+06,1135,83,18315
18/08/2024,3.0076984316700413e+06,1112,132,16495
17/08/2024,2.0713863791416958e+06,984,81,15297
16/08/2024,2.114239463216995e+06,1186,105,15403
15/08/2024,3.2795053332051854e+06,1338,129,20486
14/08/2024,3.4570385642183763e+06,1405,152,23003
13/08/2024,3.580275380479266e+06,1523,242,22936
12/08/2024,3.411825217203536e+06,1455,187,24288
11/08/2024,3.206519832192088e+06,1190,131,18160
10/08/2024,3.812260463250795e+06,1288,147,20300
09/08/2024,4.74537814944135e+06,1399,150,20252
08/08/2024,8.619109986111732e+06,1739,265,28107
07/08/2024,4.85430887292073e+06,1528,178,24891
06/08/2024,5.018908239853436e+06,1511,214,24529
05/08/2024,2.9981805310472646e+06,1198,119,17289
04/08/2024,3.0461441702866596e+06,1057,75,15320
03/08/2024,3.560230317301812e+06,1177,100,15701
02/08/2024,4.321920419431561e+06,1298,147,19157
01/08/2024,4.698654038148345e+06,1438,135,18955
31/07/2024,5.94832725002797e+06,1621,219,21850
30/07/2024,6.462203958255661e+06,1639,191,22713
29/07/2024,5.639796961966179e+06,1538,153,20491
28/07/2024,1.308889458297842e+07,1546,120,21660
27/07/2024,6.774430294923055e+06,1517,174,19701
26/07/2024,4.526640211972128e+06,1454,210,18134
25/07/2024,3.7034867765177195e+06,1299,69,17029
24/07/2024,4.806129425632128e+06,1438,179,17357
23/07/2024,6.95334472678299e+06,1532,164,17840
22/07/2024,4.016362983518429e+06,1510,194,17705
21/07/2024,4.037029126692222e+06,1392,154,17295
20/07/2024,2.324685628623049e+06,1143,91,13450
19/07/2024,3.0199934391096677e+06,1262,76,18400
18/07/2024,3.3662084680901277e+06,1447,236,17767
17/07/2024,4.517646173991316e+06,1462,174,21878
16/07/2024,3.973207013915931e+06,1411,154,21457
15/07/2024,4.618216175932227e+06,1497,169,24466
14/07/2024,3.478796920728888e+06,1292,84,19103
13/07/2024,3.084698391317376e+06,1227,73,18535
12/07/2024,3.2712260932557713e+06,1239,84,18148
11/07/2024,2.89753453388297e+06,1172,71,19215
10/07/2024,3.0838090877756714e+06,1245,113,17930
09/07/2024,3.376054400830709e+06,1310,147,21205
08/07/2024,3.6755267021360826e+06,1212,91,21731
07/07/2024,2.9820688703470696e+06,1080,82,17930
06/07/2024,2.651250043986615e+06,1106,80,17180
05/07/2024,2.597194509335292e+06,1121,73,17860
04/07/2024,3.2297512847025692e+06,1257,135,18398
03/07/2024,3.480803395561267e+06,1296,95,20404
02/07/2024,3.8780368328493224e+06,1360,104,19464
01/07/2024,4.490707355879837e+06,1344,95,20919
30/06/2024,3.7169819688381343e+06,1212,75,17455
29/06/2024,3.285005112845946e+06,1232,111,18327
28/06/2024,4.0755534863627413e+06,1398,118,20279
27/06/2024,4.779971910195371e+06,1412,94,19668
26/06/2024,6.220791718070403e+06,1432,126,21778
25/06/2024,3.8640667549331035e+06,1321,165,19497
24/06/2024,5.580867377455173e+06,1289,88,21429
23/06/2024,3.9004074631456747e+06,1096,109,17846
22/06/2024,2.661300814546871e+06,1081,97,16785
21/06/2024,1.6167576887299812e+06,1099,61,10304
20/06/2024,2.803373312426778e+06,1212,54,12655
19/06/2024,2.059175693471351e+06,1257,106,12217
18/06/2024,1.8521509894009812e+06,1198,82,9859
17/06/2024,3.0038991157501675e+06,1260,80,12685
16/06/2024,1.1596344661822044e+06,908,51,8159
15/06/2024,1.1133119009113729e+06,963,66,8658
14/06/2024,2.219193189758853e+06,1264,80,11615
13/06/2024,3.2213454024487296e+06,1423,96,12125
12/06/2024,3.2237033183978484e+06,1546,110,14744
11/06/2024,2.1860789730864963e+06,1440,94,14004
10/06/2024,2.9952888807054893e+06,1556,165,13201
09/06/2024,1.940682478270542e+06,1300,71,10858
08/06/2024,4.22580061729054e+06,1601,118,14778
07/06/2024,6.54512592676184e+06,1897,146,17393
06/06/2024,6.068753052077662e+06,1731,131,15231
05/06/2024,2.2680633101459746e+06,1525,112,11520
04/06/2024,2.231244387634442e+06,1425,93,10768
03/06/2024,4.597761124631414e+06,1734,94,13877
02/06/2024,2.496038989294963e+06,1470,86,11523
01/06/2024,2.1361438942045434e+06,1428,84,11355
31/05/2024,3.126222758790968e+06,1577,105,11270
30/05/2024,3.2948668643598394e+06,1880,113,15744
29/05/2024,4.734997262564653e+06,2065,161,16786
28/05/2024,3.947058420733083e+06,2019,155,17173
27/05/2024,4.961355674834208e+06,2100,159,18915
26/05/2024,4.215304695069716e+06,1746,107,14751
25/05/2024,3.5163378881444815e+06,1528,69,12527
24/05/2024,4.418336926825688e+06,1904,136,15833
23/05/2024,3.3337316645817426e+06,1887,124,16908
22/05/2024,3.2536017777132965e+06,1973,145,16763
21/05/2024,3.226682629427311e+06,1956,160,15813
20/05/2024,4.423463206068947e+06,2025,157,19799
19/05/2024,3.671241684050753e+06,1712,83,15165
18/05/2024,3.7707937274823934e+06,1848,162,16551
17/05/2024,3.853344905617268e+06,2042,141,18740
16/05/2024,5.811827861802055e+06,2230,166,21554
15/05/2024,5.973977041051148e+06,2342,193,23268
14/05/2024,6.918281866925575e+06,2478,228,26444
13/05/2024,8.0800851956943935e+06,2409,187,27381
12/05/2024,3.181750765741829e+06,1810,123,16666
11/05/2024,2.4941373472831817e+06,1708,89,13987
10/05/2024,3.6522697776840627e+06,1970,128,16909
09/05/2024,5.085621064710105e+06,2119,157,20639
08/05/2024,3.3851257693401617e+06,2034,171,17179
07/05/2024,5.898514055501574e+06,2331,214,22527
06/05/2024,4.165226625261487e+06,2144,168,19086
05/05/2024,2.883353592608296e+06,1756,134,14210
04/05/2024,2.5625127480809847e+06,1829,109,16076
03/05/2024,3.6921931079069446e+06,1909,145,16130
02/05/2024,2.9701402893348285e+06,1824,128,14077
01/05/2024,2.1909859606367303e+06,1501,101,12208
30/04/2024,2.496740541360407e+06,1642,111,11128
29/04/2024,3.9007375505668484e+06,1902,141,14649
28/04/2024,2.6492062494311356e+06,1683,120,13040
27/04/2024,1.8336150549833248e+06,1682,111,11937
26/04/2024,2.9906744819277823e+06,1954,143,12718
25/04/2024,2.865760416077903e+06,2134,202,16183
24/04/2024,3.750856064973992e+06,2326,224,19763
