formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
23/11/2024,2.6695706988277197e+07,5410,562,78720
22/11/2024,3.746043755818399e+07,6026,701,105948
21/11/2024,3.673374175081727e+07,6313,764,101162
20/11/2024,4.3817734782158636e+07,6966,1075,137429
19/11/2024,4.25937989179904e+07,6360,833,114167
18/11/2024,3.988811693610493e+07,6475,975,121573
17/11/2024,3.9531200212127686e+07,5846,769,111464
16/11/2024,2.4491823376590915e+07,5216,584,82279
15/11/2024,3.0676705174868617e+07,5826,773,93811
14/11/2024,3.0863565841512978e+07,5738,882,91646
13/11/2024,2.655213895583724e+07,5239,696,78812
12/11/2024,1.972293284676262e+07,4361,523,63436
11/11/2024,2.079991083612145e+07,4401,593,64350
10/11/2024,1.197263618805031e+07,3577,346,44272
09/11/2024,9.909930041819546e+06,3385,287,45141
08/11/2024,1.403933609002567e+07,3911,504,54876
07/11/2024,1.2700359735956192e+07,3759,428,52255
06/11/2024,1.2507616194157828e+07,4051,446,57717
05/11/2024,8.827878539525965e+06,3609,373,47414
04/11/2024,9.771177472967377e+06,3533,363,52622
03/11/2024,1.3354142214849766e+07,3385,373,54893
02/11/2024,1.148352038377456e+07,3229,385,45741
01/11/2024,8.669503113382315e+06,3265,355,45001
31/10/2024,1.0759274677653238e+07,3586,424,51164
30/10/2024,1.1169144723223884e+07,3592,471,51103
29/10/2024,1.3685722496115183e+07,3758,454,58372
28/10/2024,1.0477781898522554e+07,3497,391,52929
27/10/2024,1.1055346001350371e+07,3190,331,49974
26/10/2024,1.0315865364596173e+07,3108,316,46357
25/10/2024,1.416858727083092e+07,3642,475,55756
24/10/2024,2.2526363318855435e+07,3922,558,66593
23/10/2024,1.78679642704687e+07,3735,488,62774
22/10/2024,1.4491117329018425e+07,3809,603,61831
21/10/2024,1.5338981158214804e+07,3619,502,59806
20/10/2024,9.258730117149796e+06,3169,390,46259
19/10/2024,1.6510610533835337e+07,3554,573,65557
18/10/2024,1.0379749759871682e+07,3388,597,51205
17/10/2024,1.0321411137088155e+07,3300,514,49260
16/10/2024,1.0460749394770473e+07,3409,628,52155
15/10/2024,9.151063637725e+06,3213,564,45638
14/10/2024,1.005822874380066e+07,3167,623,45590
13/10/2024,8.105755834829069e+06,2661,457,37961
12/10/2024,6.038202825656511e+06,2564,482,35506
11/10/2024,6.06986353293444e+06,2598,578,34289
10/10/2024,5.295534634714853e+06,2657,885,34311
09/10/2024,6.238231858492216e+06,2743,2743,36603
