formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
16/07/2024,1.8459690534558948e+07,10631,558,111302
15/07/2024,2.1134031825584564e+07,11062,584,123134
14/07/2024,1.984693726375477e+07,10680,502,115258
13/07/2024,1.5701266430005942e+07,9947,496,104786
12/07/2024,1.6036671024482813e+07,9485,428,101438
11/07/2024,1.745993877427971e+07,10048,448,106596
10/07/2024,1.589279734516111e+07,9742,479,100050
09/07/2024,1.6321792957438104e+07,10059,506,101281
08/07/2024,1.694429035063521e+07,9869,461,97125
07/07/2024,1.4687720685567625e+07,9438,439,99804
06/07/2024,1.5257211937956445e+07,9716,431,107624
05/07/2024,1.4727504171832787e+07,9289,389,96101
04/07/2024,1.4063376381072266e+07,9705,500,94544
03/07/2024,1.698143889394313e+07,10970,575,101793
02/07/2024,1.981367069033066e+07,11369,567,103168
01/07/2024,2.5323294995598808e+07,11676,563,110782
30/06/2024,1.8301689300797034e+07,11021,705,109146
29/06/2024,1.6049696811968619e+07,10364,517,108093
28/06/2024,2.066361096086887e+07,11696,595,117634
27/06/2024,2.3869121428398155e+07,12591,632,125963
26/06/2024,2.231528731362894e+07,11833,602,117645
25/06/2024,1.862651288093788e+07,11344,554,106653
24/06/2024,2.0307886707488168e+07,11371,551,115086
23/06/2024,1.6128280387997093e+07,10420,545,109569
22/06/2024,1.7048471700153556e+07,11015,528,121238
21/06/2024,2.253403458922508e+07,12719,595,137375
20/06/2024,3.3230954748780668e+07,13584,640,147077
19/06/2024,3.1526537172337852e+07,14253,716,151020
18/06/2024,5.200030887089795e+07,15398,822,156905
17/06/2024,4.174915023698177e+07,15715,884,164499
16/06/2024,1.6803099206693564e+07,12430,663,113995
15/06/2024,1.7033662131709956e+07,12950,758,115248
14/06/2024,2.3911675584833942e+07,15841,1044,145216
13/06/2024,3.7698485523963645e+07,16945,1105,172714
12/06/2024,3.9462563915319815e+07,17258,988,166768
11/06/2024,2.8214533918445963e+07,16335,922,155602
10/06/2024,3.189626404001995e+07,17222,1064,156988
09/06/2024,2.9615031252960328e+07,16619,974,157230
08/06/2024,4.706012434661044e+07,19047,1537,183997
07/06/2024,7.602759706616746e+07,21689,1473,233458
06/06/2024,4.997300000324875e+07,19925,1305,188992
05/06/2024,3.036191963109913e+07,18099,1126,153622
04/06/2024,2.783161628630789e+07,16470,882,139536
03/06/2024,4.2251580808547236e+07,17592,1075,165903
02/06/2024,3.0679180442267276e+07,16359,1096,153218
01/06/2024,3.2960108178276595e+07,16829,1052,169253
31/05/2024,3.0569891655607786e+07,17520,1105,168220
30/05/2024,4.0678029171421655e+07,20623,1658,199112
29/05/2024,4.577789543968286e+07,21944,1969,212541
28/05/2024,3.989563722001519e+07,18255,1102,192608
27/05/2024,4.661938877225709e+07,18523,1178,193973
26/05/2024,3.546442588883208e+07,14928,812,156549
25/05/2024,3.0521307302430175e+07,13820,671,134683
24/05/2024,3.1412729276623856e+07,15143,744,155894
23/05/2024,2.713300503591254e+07,15440,875,149635
22/05/2024,2.823118068779589e+07,15958,892,153028
21/05/2024,2.7362724971245375e+07,16632,965,153154
20/05/2024,3.2687456038941808e+07,16942,1084,166248
19/05/2024,2.8584679685984813e+07,14843,909,153925
18/05/2024,2.981750378287857e+07,15469,883,155157
