formattedDay,totalVolumeUSD,numberOfUsers,numberOfNewUsers,solanaVolumeUSD,baseVolumeUSD,bscVolumeUSD,solanaNumberOfUsers,baseNumberOfUsers,bscNumberOfUsers,numberOfReturningUsers,feesUSD,feesSOL,feesETH,feesBNB,numberOfTrades,numberOfPairs,cumulative_numberOfNewUsers,total_volume_usd,daily_users,daily_trades,total_fees_usd
17/12/2024,1.110815941870903e+07,2791,475,1.1108134907900322e+07,24.510808709015556,0,2788,3,0,2316,96673.33847590226,436.057449168,-0.008704337199427689,0,43251,5273,18895,0,0,0,0
18/12/2024,1.457495017133642e+07,2789,450,1.4574935502742963e+07,14.668593457023318,0,2787,2,0,2339,126247.92769450278,586.0880846380002,-0.003770677442894368,0,51788,5647,19345,0,0,0,0
19/12/2024,1.386249535655005e+07,2698,421,1.386188861931028e+07,606.7372397704428,0,2695,3,0,2277,119732.07046086816,593.3037092400012,-0.17626757987801783,0,52469,6258,19766,0,0,0,0
20/12/2024,1.5419133875392243e+07,2771,456,1.5419133875392243e+07,0,0,2771,0,0,2315,135957.28397811187,708.7228667240018,0,0,55842,5717,20222,0,0,0,0
21/12/2024,1.3248333510288354e+07,2468,337,1.3248333510288354e+07,0,0,2468,0,0,2131,114464.7510434749,604.702296486001,0,0,54043,5688,20559,0,0,0,0
22/12/2024,1.0248914464910235e+07,2400,340,1.0248914464910235e+07,0,0,2400,0,0,2060,88021.34466127012,483.51423722300046,0,0,52063,5796,20899,0,0,0,0
23/12/2024,1.0222879395742182e+07,2604,376,1.0222707107617887e+07,172.28812429385218,0,2603,1,0,2228,88402.29875906532,477.61355430200115,-0.05186914827269426,0,56881,5920,21275,0,0,0,0
24/12/2024,8.322085323429971e+06,2371,297,8.322085323429971e+06,0,0,2371,0,0,2074,72666.14982641801,376.5032097870002,0,0,44948,5711,21572,0,0,0,0
25/12/2024,7.859529071426004e+06,2161,235,7.859529071426004e+06,0,0,2161,0,0,1926,70127.26014576435,353.7814356619998,0,0,36043,4194,21807,0,0,0,0
26/12/2024,1.4090812043717064e+07,2739,338,1.4090807973230092e+07,4.0704869726970045,0,2737,2,0,2401,121239.56731345964,634.1425733910028,-0.001215416308000545,0,60896,5710,22145,0,0,0,0
27/12/2024,1.1862477621171786e+07,2673,397,1.1862474305031246e+07,3.3161405400000006,0,2672,1,0,2276,105239.4025026223,561.1153960380005,-0.000999,0,57322,5758,22542,0,0,0,0
