formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
14/02/2024,4822785.903203145,5282,448,68789,42089.63752444609
15/02/2024,7253917.581852861,6130,714,86276,64390.93754816132
16/02/2024,5051332.264949951,5365,449,75285,43938.73772729453
17/02/2024,4233383.384693999,5018,401,66575,37258.86487151588
18/02/2024,4031848.349941983,4689,398,58292,32354.11594659103
19/02/2024,4835711.097068777,5219,495,68986,39950.73601511096
20/02/2024,3534026.5457631378,4972,456,59087,30434.607455325393
21/02/2024,3157990.1684964113,4675,364,58311,27663.663341703388
22/02/2024,3203931.629651737,4813,430,55454,28419.263690242988
23/02/2024,3461425.530968572,4808,397,55481,30393.59778277988
24/02/2024,3196496.5980701554,4303,337,57631,27849.244631001904
25/02/2024,4174538.0254689627,4516,432,55948,31255.057397407236
26/02/2024,5792858.615539303,4868,397,57848,33788.24520392344
27/02/2024,4421240.582719083,4986,411,59893,35579.24157230896
28/02/2024,4474149.278599398,5090,402,59764,36928.03957245308
29/02/2024,4996051.604532429,5280,417,59940,41484.45330547656
01/03/2024,6388119.64253591,5801,481,64682,52470.41119099449
02/03/2024,9374762.196969477,6632,553,86491,75428.76772166946
03/03/2024,11022813.97192473,7264,659,94416,92829.75408496315
04/03/2024,13104048.237532642,8574,990,112198,109590.88960035708
05/03/2024,13168066.42493575,8441,925,118042,111075.98428603131
06/03/2024,16159074.328370625,10217,1427,170764,142663.37759154628
07/03/2024,16916348.364188347,10785,1339,178482,153022.2606368617
08/03/2024,17924744.34184618,11241,1368,190812,162781.7822904894
09/03/2024,19945781.28953798,11653,1509,203989,181272.10947361984
10/03/2024,26545839.28464711,13231,2056,280635,241221.12220931883
11/03/2024,27142223.911954362,14545,1998,301395,248938.40017771185
12/03/2024,23848924.414164368,13335,1701,258922,218660.157461883
13/03/2024,26433725.27592068,14343,2024,261228,243317.43265449567
14/03/2024,38106113.37817255,16919,2763,300211,349683.0943551752
15/03/2024,50234785.714667626,20047,4038,341722,462667.08958477806
16/03/2024,57380918.39412751,20723,3668,313565,530317.9170336571
17/03/2024,62813175.83687469,21103,3667,288938,581893.8380874123
18/03/2024,118634132.93167824,24738,4909,314202,1106156.887920182
19/03/2024,59219409.325271964,22616,3510,231750,559198.5942719863
20/03/2024,40276522.5944277,20590,2349,233822,377936.82878041005
21/03/2024,48187965.23132374,22811,3037,285491,451227.4211596083
22/03/2024,37879686.57552338,20429,2146,290479,352583.66419675725
23/03/2024,31219217.19451817,18625,1947,272654,289638.7083771571
24/03/2024,26746350.502797388,18407,1749,262238,247011.34597317775
25/03/2024,32614388.809182692,19666,1619,268550,301034.8630027817
26/03/2024,52705809.57923259,21161,1932,292139,482028.3690784584
27/03/2024,33647670.59282735,19682,1675,264894,308487.70911435666
28/03/2024,34727756.22325244,19646,1656,256337,317436.8126024045
29/03/2024,43113544.414120175,21604,2392,298277,396145.5347219734
30/03/2024,54379571.706249945,22279,2237,328832,498878.6201785773
31/03/2024,50091776.06808811,22387,2080,335800,459089.5188035771
01/04/2024,41955667.23252295,22772,2216,323869,383597.2282568392
02/04/2024,43975449.66763903,22563,2267,304989,403607.7437226201
03/04/2024,31951404.719375256,20757,2010,202612,292154.5437234152
04/04/2024,31625169.586389538,21348,2475,203893,289612.5946211261
05/04/2024,25019490.641915336,19342,2130,188466,228588.6847136297
06/04/2024,26112456.032144267,18576,1891,260438,238618.22961768112
07/04/2024,32404013.625440735,20006,1982,261544,298387.70309863833
08/04/2024,30578858.491789177,20876,2018,269386,281216.21379067126
09/04/2024,36216019.73373528,22325,2409,289470,332255.4743876673
10/04/2024,26441590.908970803,20719,1960,259303,243105.03900865445
11/04/2024,29649027.30091954,21703,2087,278077,271202.5487972767
12/04/2024,28534980.68715061,21035,1692,242632,261597.61738348613
13/04/2024,20492580.428634375,17289,1129,214368,188058.71639406768
14/04/2024,15791628.71523646,16412,1107,197622,144731.60696636408
15/04/2024,20033431.42593581,18055,1262,226451,181511.16438266647
16/04/2024,17601474.616030842,17245,1140,210075,161569.0083322096
17/04/2024,15020447.266191982,16567,976,207946,138144.11084283073
18/04/2024,15172147.755146282,16605,941,222161,138729.358154104
19/04/2024,15965395.892547563,16576,1026,208119,147352.83013917936
20/04/2024,12955818.539901897,15638,1044,182363,118369.32825565524
21/04/2024,14091842.332656376,15119,1010,168632,129053.6700011733
22/04/2024,23874408.370789886,17641,1237,197231,219475.75206634915
23/04/2024,23026887.94670539,18361,1231,214143,210723.37957716297
24/04/2024,22066625.26913815,18040,1183,198468,203663.62994155707
25/04/2024,19447428.648752637,16945,1000,172161,180120.64244384348
26/04/2024,17254462.308376726,16505,1058,156238,159447.73424495387
27/04/2024,15129268.515907818,15183,912,165231,138949.38128850554
28/04/2024,17340027.945922654,15660,985,169804,156424.2747011736
29/04/2024,21108173.6973857,16747,1016,185790,191755.56804404448
30/04/2024,15911876.60562118,15629,994,166969,144024.93344601322
01/05/2024,15764682.872928612,14421,864,157221,142621.45990956703
02/05/2024,21540001.54629107,16932,1045,206878,194467.14223674402
03/05/2024,28868441.715398576,18589,1257,242083,262834.1875605801
