formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
24/03/2025,5.383583831137204e+06,3592,312,32005
23/03/2025,2.890251437360129e+06,2536,223,20164
22/03/2025,1.7934580715128756e+06,2623,264,15730
21/03/2025,1.454538284300134e+06,1557,132,12812
20/03/2025,2.6426988256722935e+06,2647,273,18741
19/03/2025,2.370584992746612e+06,2168,182,19422
18/03/2025,2.381744008894124e+06,2465,240,19562
17/03/2025,3.1079369495180226e+06,2176,187,24262
16/03/2025,2.6479622300179214e+06,1810,130,19169
15/03/2025,4.265915705532555e+06,2435,217,24458
14/03/2025,3.138496143345655e+06,2586,379,24385
13/03/2025,3.8132929414856243e+06,2270,217,25277
12/03/2025,3.811457083468969e+06,2610,435,25513
11/03/2025,2.8134998881858177e+06,1922,134,21090
10/03/2025,3.132897713720459e+06,1980,148,23007
09/03/2025,3.149532518000982e+06,2464,379,20838
08/03/2025,4.085676009523373e+06,2879,770,23900
07/03/2025,7.378600202879848e+06,2732,273,33121
06/03/2025,3.710380527781294e+06,2479,289,26502
05/03/2025,4.337075089686947e+06,2545,314,28406
04/03/2025,3.2426098180839177e+06,2143,219,21244
03/03/2025,3.541300265047904e+06,2397,249,22860
02/03/2025,3.561487699937491e+06,2357,265,22214
01/03/2025,2.0045640387967748e+06,1866,147,17168
28/02/2025,2.580409787693715e+06,2070,164,19635
27/02/2025,3.2479272534451694e+06,2357,269,23094
26/02/2025,3.2018832750910334e+06,2177,144,20799
25/02/2025,4.0326810610496667e+06,2329,205,21273
24/02/2025,4.450347715729453e+06,2336,156,21938
23/02/2025,4.532094763116584e+06,2354,215,21978
22/02/2025,3.8740632410467723e+06,2309,214,21804
21/02/2025,5.131769353051839e+06,2558,230,26056
20/02/2025,5.756373103270529e+06,2711,233,27288
19/02/2025,4.779265236989319e+06,2604,222,27336
18/02/2025,4.538726612867937e+06,2601,209,26193
17/02/2025,5.342916743997714e+06,2621,197,27965
16/02/2025,5.4097115420100475e+06,2528,200,26843
15/02/2025,8.616952173794327e+06,2759,228,29492
14/02/2025,1.0965394493320752e+07,3171,295,34276
13/02/2025,7.5171249418806005e+06,3228,275,33264
12/02/2025,1.0034865004629632e+07,3502,299,46962
11/02/2025,1.6031836726915209e+07,3839,331,56937
10/02/2025,2.027383570470251e+07,3883,375,58554
09/02/2025,1.6404695723748973e+07,3340,231,47209
08/02/2025,8.22761743050676e+06,3010,272,34916
07/02/2025,1.1757052223895496e+07,3519,421,46957
06/02/2025,9.616486170948772e+06,3388,346,41917
05/02/2025,1.3788743015514726e+07,3575,351,47905
04/02/2025,1.1007566048511993e+07,3438,304,42336
03/02/2025,1.179595440064371e+07,3306,282,42534
02/02/2025,9.154989802963816e+06,2980,223,39129
01/02/2025,1.4838384820598062e+07,3543,294,49138
31/01/2025,2.585146102181024e+07,4178,382,68938
30/01/2025,3.8541950567965314e+07,4441,437,84890
29/01/2025,2.002447823382028e+07,4151,362,63007
28/01/2025,2.2897480124942288e+07,4507,538,69217
27/01/2025,2.9237165238713466e+07,4521,442,79197
26/01/2025,2.6488068084772762e+07,4225,309,71528
25/01/2025,2.5713955471919857e+07,4326,349,71146
24/01/2025,4.2353053131387755e+07,4940,480,93795
23/01/2025,5.10216794379085e+07,5265,526,104008
22/01/2025,2.4758359141459905e+07,4529,478,68739
21/01/2025,4.736910363200267e+07,4728,506,77586
20/01/2025,6.423423848924385e+07,6005,847,95039
19/01/2025,5.5610566866574764e+07,6108,923,87495
18/01/2025,4.3169628394524865e+07,5240,661,66678
17/01/2025,1.5759147875189273e+07,3717,422,47267
16/01/2025,1.5699864679465212e+07,3735,384,51408
15/01/2025,1.3486416072372168e+07,3890,477,52830
14/01/2025,1.4560237366287878e+07,3959,479,59537
13/01/2025,1.1548938323646914e+07,3651,313,47645
12/01/2025,1.3517870448806375e+07,3586,271,50994
11/01/2025,1.3515144520756966e+07,3686,411,48925
10/01/2025,1.3775129255660474e+07,3749,312,53635
09/01/2025,1.4948718284752607e+07,3815,290,56056
08/01/2025,1.6559322428563384e+07,3908,313,58420
07/01/2025,1.725924797931496e+07,3914,342,57557
06/01/2025,1.898626820820241e+07,4047,276,59474
05/01/2025,1.7585838052791137e+07,3887,331,57333
04/01/2025,1.4409283581687259e+07,3831,344,55181
03/01/2025,1.942980293126381e+07,4056,400,65558
02/01/2025,1.6709609809756719e+07,3907,298,60170
01/01/2025,1.2112823702702552e+07,3367,259,46168
31/12/2024,1.3373449430344703e+07,3274,230,44201
30/12/2024,1.2419110174157456e+07,3376,309,46835
29/12/2024,1.2317957203190194e+07,3290,248,44956
28/12/2024,1.028790936677076e+07,3213,246,46061
27/12/2024,1.0966828274184654e+07,3241,226,51704
26/12/2024,1.205522910575179e+07,3529,330,50929
25/12/2024,8.416535600098453e+06,3022,258,36624
24/12/2024,8.189505148702957e+06,3121,282,40716
23/12/2024,1.0105553299946226e+07,3398,275,45691
