formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
08/03/2025,1.6025077759889534e+06,1450,37,26049,16485.07907624774
07/03/2025,2.1711426613588617e+06,1662,48,31796,21894.770725748305
06/03/2025,1.7404479347138032e+06,1618,55,30155,17866.157310445156
05/03/2025,1.9025397966718932e+06,1722,43,30379,19496.72187251691
04/03/2025,1.6751005732102173e+06,1581,55,28140,17009.551753690615
03/03/2025,1.6609504622373336e+06,1681,35,27002,16725.433689029865
02/03/2025,1.7424712191363166e+06,1785,48,28461,17589.255782680328
01/03/2025,1.4318504889846807e+06,1581,57,26167,14561.725881092463
28/02/2025,1.8924464267972442e+06,1711,61,29985,19260.42844707387
27/02/2025,1.738581799270481e+06,1714,61,29177,18008.044468632103
26/02/2025,1.726506999515534e+06,1852,75,28754,17524.351304550884
25/02/2025,1.712067402329346e+06,1943,67,28712,17483.06206050417
24/02/2025,2.0866063243485584e+06,2090,96,35873,21064.005185996335
23/02/2025,2.316294824705594e+06,2189,83,41474,23609.86089305004
22/02/2025,2.5585623768638857e+06,2314,97,44759,26085.961445056004
21/02/2025,2.7570224631376374e+06,2586,110,47776,28175.363558917667
20/02/2025,3.141876154413777e+06,2707,143,50697,31903.791401436476
19/02/2025,2.703412065858815e+06,2614,113,43429,27210.498453198805
18/02/2025,3.185567759636717e+06,2837,145,51969,32415.244201631405
17/02/2025,3.042874209282514e+06,2965,187,50641,30962.843516812256
16/02/2025,3.2599571670473004e+06,2957,234,55772,33478.290043943656
15/02/2025,3.58378855112669e+06,3076,234,53181,36751.284571108656
14/02/2025,4.441964175572168e+06,3475,194,52292,45246.38100484268
13/02/2025,3.8115336653633076e+06,3201,187,52970,38553.51680997106
12/02/2025,4.695888511542874e+06,3371,199,59558,47382.552022884294
11/02/2025,6.778417087777874e+06,3839,239,76441,68850.12147559659
10/02/2025,8.737898136678755e+06,4075,270,81781,89510.24447004919
09/02/2025,8.720338986910166e+06,3989,348,82952,89424.31568661232
08/02/2025,3.921178637158881e+06,2978,221,51474,39703.16562539819
07/02/2025,3.9163888777484605e+06,3246,204,56565,39587.87104071299
06/02/2025,3.947023787214247e+06,3324,291,52873,41147.87666941801
05/02/2025,5.766712451854615e+06,3593,399,56459,59004.656142070606
04/02/2025,4.601477813117288e+06,3306,217,48557,49151.58666753106
03/02/2025,4.70814037266954e+06,3442,253,47084,49938.32268714949
02/02/2025,5.175740238243303e+06,3730,347,54291,54067.79382397019
01/02/2025,7.199201015228986e+06,4734,873,66233,76453.59338702237
31/01/2025,1.2478494868842782e+07,7205,3013,85526,128577.07436669878
30/01/2025,1.3380942239217388e+07,4697,471,95146,136324.30444114612
29/01/2025,9.808314405041048e+06,4259,358,70770,103886.24200143156
28/01/2025,1.1179411414456755e+07,4311,334,80297,117071.59822513686
27/01/2025,1.5968635363889385e+07,4828,353,95573,170715.7785872939
26/01/2025,1.6378619905313907e+07,5277,517,109471,171349.8964417803
25/01/2025,1.4741848796801142e+07,5301,592,109215,154399.3230067969
24/01/2025,1.9980549165231645e+07,5806,849,130796,210787.12076738075
23/01/2025,2.5310337744339e+07,6075,1133,129033,292617.3903012418
22/01/2025,1.3069728987033488e+07,5624,1367,93956,139240.46873526706
21/01/2025,1.6692990316192389e+07,5317,1698,90841,181139.02277651065
20/01/2025,2.301873335456219e+07,5576,5576,93726,254715.59672330512
