formattedDay,totalVolumeUSD,numberOfUsers,numberOfNewUsers,ethereumVolumeUSD,baseVolumeUSD,avalancheVolumeUSD,bscVolumeUSD,arbitrumVolumeUSD,ethereumNumberOfUsers,baseNumberOfUsers,avalancheNumberOfUsers,bscNumberOfUsers,arbitrumNumberOfUsers,numberOfReturningUsers,numberOfTrades,numberOfPairs,buyVolumeUSD,sellVolumeUSD,cumulative_numberOfNewUsers,total_volume_usd,daily_users,daily_trades,total_fees_usd
19/03/2025,1.3463252282583607e+07,3576,387,549106.1887985249,6.574681912384999e+06,8020.650884746937,6.331443530515329e+06,0,374,1776,13,1899,0,3189,34373,1468,6.4017233344980925e+06,7.06152894808551e+06,220229,0,0,0,0
20/03/2025,1.4894264062934056e+07,3695,624,351386.0052338866,5.293957004944132e+06,5579.828722602483,9.243341224033436e+06,0,272,1675,15,2218,0,3071,36142,1448,6.846481663241194e+06,8.047782399692864e+06,220853,0,0,0,0
21/03/2025,2.214506611216572e+07,4416,1035,147112.0973120008,4.689482770275696e+06,14460.43797827576,1.7294010806599744e+07,0,159,1374,21,3377,0,3381,56578,1494,1.0055006173588594e+07,1.2090059938577136e+07,221888,0,0,0,0
22/03/2025,1.1589111207110666e+07,3128,332,233013.21550490556,2.849609529934759e+06,708.9635562059124,8.505779498114806e+06,0,173,985,12,2282,0,2796,31893,1198,5.451520568196101e+06,6.137590638914568e+06,222220,0,0,0,0
23/03/2025,1.1574661355460754e+07,3055,363,218652.32574121872,5.500596213622669e+06,15332.463959762721,5.84008035213711e+06,0,194,1419,4,1768,0,2692,28254,1106,5.539995789514186e+06,6.034665565946578e+06,222583,0,0,0,0
24/03/2025,1.5149542805277718e+07,3735,576,302343.38202299114,7.985947583465211e+06,834.7701122660854,6.860417069677263e+06,0,246,1790,10,2226,0,3159,40353,1390,7.133403923315079e+06,8.016138881962648e+06,223159,0,0,0,0
25/03/2025,1.1822531092481887e+07,3612,587,399024.1442954277,6.741761353015049e+06,1898.7542669708066,4.679846840904442e+06,0,264,1616,12,2128,0,3025,30697,1231,5.383161217480447e+06,6.439369875001434e+06,223746,0,0,0,0
26/03/2025,1.10682109492847e+07,3216,492,435387.5296279304,6.77392153289534e+06,2203.5773275826728,3.8566983094338523e+06,0,262,1663,10,1645,0,2724,27966,1315,5.163593006486452e+06,5.904617942798255e+06,224238,0,0,0,0
27/03/2025,1.3668007452683868e+07,3420,446,298663.3721898254,6.5712193880918e+06,5544.738106615193,6.792579954295628e+06,0,321,1784,27,1704,0,2974,30394,1130,6.524713602200306e+06,7.143293850483565e+06,224684,0,0,0,0
28/03/2025,6.13163481685715e+06,2344,153,309750.2059491409,3.464305005590954e+06,8128.019049981668,2.349451586267072e+06,0,273,1194,13,1139,0,2191,17348,979,2.957862218539044e+06,3.1737725983181046e+06,224837,0,0,0,0
